attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,url
12648,24324098,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59186,80,ips,signature,/drupal/sites/default/files/styles/large/.htpasswd
12648,24324098,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59186,80,ips,signature,-
12475,24324106,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59206,80,ips,signature,/drupal/sites/default/files/styles/large/cgi-bin/
13900,24324127,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59250,80,ips,signature,/drupal/sites/default/files/styles/large/phpinfo.php
12648,24324144,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59286,80,ips,signature,/drupal/sites/default/files/styles/medium/.htpasswd
12648,24324144,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59286,80,ips,signature,-
12475,24324152,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59306,80,ips,signature,/drupal/sites/default/files/styles/medium/cgi-bin/
13900,24324173,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59350,80,ips,signature,/drupal/sites/default/files/styles/medium/phpinfo.php
12648,24324189,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59384,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/.htpasswd
12648,24324189,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59384,80,ips,signature,-
12475,24324197,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59400,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/cgi-bin/
13900,24324218,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59444,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/phpinfo.php
12648,24324235,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59478,80,ips,signature,/drupal/sites/default/files/styles/large/public/.htpasswd
12648,24324235,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59478,80,ips,signature,-
12475,24324243,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59494,80,ips,signature,/drupal/sites/default/files/styles/large/public/cgi-bin/
13900,24324264,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59540,80,ips,signature,/drupal/sites/default/files/styles/large/public/phpinfo.php
12648,24324281,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59576,80,ips,signature,/drupal/sites/default/files/styles/medium/public/.htpasswd
12648,24324281,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59576,80,ips,signature,-
12475,24324289,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59598,80,ips,signature,/drupal/sites/default/files/styles/medium/public/cgi-bin/
13900,24324310,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59644,80,ips,signature,/drupal/sites/default/files/styles/medium/public/phpinfo.php
12648,24324326,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59678,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/public/.htpasswd
12648,24324326,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59678,80,ips,signature,-
12475,24324334,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59694,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/public/cgi-bin/
13900,24324356,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59742,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/public/phpinfo.php
12648,24324372,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59778,80,ips,signature,/drupal/sites/default/files/styles/large/public/field/.htpasswd
12648,24324372,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59778,80,ips,signature,-
12475,24324380,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59796,80,ips,signature,/drupal/sites/default/files/styles/large/public/field/cgi-bin/
13900,24324401,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59842,80,ips,signature,/drupal/sites/default/files/styles/large/public/field/phpinfo.php
12648,24324418,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59878,80,ips,signature,/drupal/sites/default/files/styles/medium/public/field/.htpasswd
12648,24324418,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59878,80,ips,signature,-
12475,24324426,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59896,80,ips,signature,/drupal/sites/default/files/styles/medium/public/field/cgi-bin/
13900,24324447,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,59938,80,ips,signature,/drupal/sites/default/files/styles/medium/public/field/phpinfo.php
12648,24324464,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59976,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/public/field/.htpasswd
12648,24324464,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,59976,80,ips,signature,-
12475,24324472,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,59994,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/public/field/cgi-bin/
13900,24324493,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,60038,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/public/field/phpinfo.php
12648,24324509,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,60074,80,ips,signature,/drupal/sites/default/files/styles/large/public/field/image/.htpasswd
12648,24324509,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,60074,80,ips,signature,-
12475,24324517,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,60090,80,ips,signature,/drupal/sites/default/files/styles/large/public/field/image/cgi-bin/
13900,24324538,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,60136,80,ips,signature,/drupal/sites/default/files/styles/large/public/field/image/phpinfo.php
12648,24324555,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,60170,80,ips,signature,/drupal/sites/default/files/styles/medium/public/field/image/.htpasswd
12648,24324555,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,60170,80,ips,signature,-
12475,24324563,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,60190,80,ips,signature,/drupal/sites/default/files/styles/medium/public/field/image/cgi-bin/
13900,24324584,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,60234,80,ips,signature,/drupal/sites/default/files/styles/medium/public/field/image/phpinfo.php
12648,24324601,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,60270,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/public/field/image/.htpasswd
12648,24324601,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,60270,80,ips,signature,-
12475,24324609,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,60286,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/public/field/image/cgi-bin/
13900,24324630,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,60330,80,ips,signature,/drupal/sites/default/files/styles/thumbnail/public/field/image/phpinfo.php
