attackid,nataque,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,sessionid,url
43336,112,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,
12980,112,high,ANS.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,
10003,112,medium,MS.IIS.Web.Application.SourceCode.Disclosure,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,
12015,112,high,MS.IIS.Web.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,
44780,112,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,
50825,112,high,Apache.HTTP.Server.cgi-bin.Path.Traversal,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,
43336,112,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,
12980,112,high,ANS.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,
10003,112,medium,MS.IIS.Web.Application.SourceCode.Disclosure,HTTP,172.16.1.2,172.16.2.2,51084,80,ips,signature,7285,
44780,113,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51086,80,ips,signature,7286,/bmp/mime.types
34971,113,medium,NetworkActiv.Web.Server.XSS,HTTP,172.16.1.2,172.16.2.2,51086,80,ips,signature,7286,
44780,113,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51086,80,ips,signature,7286,
44780,114,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51088,80,ips,signature,7287,/doc/Judy/
44780,114,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51088,80,ips,signature,7287,
44780,115,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51090,80,ips,signature,7288,/Host/Portals/tabid/19/ctl/Login/portalid/0/Default.aspx
44780,115,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51090,80,ips,signature,7288,
44780,116,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51092,80,ips,signature,7289,/va/
44780,116,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51092,80,ips,signature,7289,
44780,117,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51094,80,ips,signature,7290,/sc/
44780,117,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51094,80,ips,signature,7290,
44780,118,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51096,80,ips,signature,7291,
48010,118,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51096,80,ips,signature,7291,
15117,118,medium,NuclearBB.Root.Path.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51096,80,ips,signature,7291,
44780,118,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51096,80,ips,signature,7291,
15117,118,medium,NuclearBB.Root.Path.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51096,80,ips,signature,7291,
44780,119,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51098,80,ips,signature,7292,
29613,119,high,SQuery.LibPath.Parameter.Multiple.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51098,80,ips,signature,7292,
44780,119,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51098,80,ips,signature,7292,
44780,120,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51100,80,ips,signature,7293,
14946,120,low,Flip.Previewtheme.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51100,80,ips,signature,7293,
15091,120,high,Ajax.File.Browser.approot.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51100,80,ips,signature,7293,
14950,120,low,NcasterCMS.Archive.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51100,80,ips,signature,7293,
14857,120,high,RipeCMS.Parameter.Level.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51100,80,ips,signature,7293,
44780,120,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51100,80,ips,signature,7293,
14857,120,high,RipeCMS.Parameter.Level.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51100,80,ips,signature,7293,
44780,121,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51102,80,ips,signature,7294,
14956,121,high,Somery.Include.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51102,80,ips,signature,7294,
48010,121,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51102,80,ips,signature,7294,
13825,121,low,Joomla!.com_webring.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51102,80,ips,signature,7294,
44780,121,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51102,80,ips,signature,7294,
14956,121,high,Somery.Include.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51102,80,ips,signature,7294,
48010,121,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51102,80,ips,signature,7294,
44780,122,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51104,80,ips,signature,7295,
15091,122,high,Ajax.File.Browser.approot.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51104,80,ips,signature,7295,
48010,122,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51104,80,ips,signature,7295,
44780,122,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51104,80,ips,signature,7295,
15091,122,high,Ajax.File.Browser.approot.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51104,80,ips,signature,7295,
44780,123,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51106,80,ips,signature,7296,
48010,123,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51106,80,ips,signature,7296,
44780,123,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51106,80,ips,signature,7296,
44780,124,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51108,80,ips,signature,7297,
48010,124,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51108,80,ips,signature,7297,
44780,124,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51108,80,ips,signature,7297,
48010,124,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51108,80,ips,signature,7297,
48010,125,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51110,80,ips,signature,7298,
44780,125,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51110,80,ips,signature,7298,
14947,125,low,FrontAccounting.Config.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51110,80,ips,signature,7298,
48010,125,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51110,80,ips,signature,7298,
44780,125,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51110,80,ips,signature,7298,
44780,126,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51112,80,ips,signature,7299,
44780,126,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51112,80,ips,signature,7299,
44780,127,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51114,80,ips,signature,7300,
44780,127,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51114,80,ips,signature,7300,
44780,128,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51116,80,ips,signature,7302,
15115,128,medium,DFD.Cart.Set.Depth.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51116,80,ips,signature,7302,
29615,128,medium,Vmist.Downstat.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51116,80,ips,signature,7302,
15100,128,medium,AnyInventory.Environment.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51116,80,ips,signature,7302,
44780,128,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51116,80,ips,signature,7302,
15115,128,medium,DFD.Cart.Set.Depth.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51116,80,ips,signature,7302,
44780,129,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51118,80,ips,signature,7303,
44780,129,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51118,80,ips,signature,7303,
44780,130,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51120,80,ips,signature,7304,
44780,130,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51120,80,ips,signature,7304,
44780,131,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51122,80,ips,signature,7305,
44780,131,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51122,80,ips,signature,7305,
44780,132,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51124,80,ips,signature,7306,
14740,132,high,Mazen.PHP.Chat.Multiple.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51124,80,ips,signature,7306,
30542,132,high,Quezza.Class_template.php.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51124,80,ips,signature,7306,
44780,132,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51124,80,ips,signature,7306,
14740,132,high,Mazen.PHP.Chat.Multiple.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51124,80,ips,signature,7306,
44780,133,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51126,80,ips,signature,7307,
48010,133,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51126,80,ips,signature,7307,
14157,133,medium,TotalCalendar.Multiple.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51126,80,ips,signature,7307,
44780,133,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51126,80,ips,signature,7307,
48010,133,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51126,80,ips,signature,7307,
14157,133,medium,TotalCalendar.Multiple.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51126,80,ips,signature,7307,
44780,134,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51128,80,ips,signature,7308,
48010,134,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51128,80,ips,signature,7308,
44780,134,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51128,80,ips,signature,7308,
44780,135,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51130,80,ips,signature,7309,
44780,136,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51132,80,ips,signature,7310,
15092,136,high,OFFL.DOC.ROOT.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51132,80,ips,signature,7310,
14949,136,high,Linksnet.Newsfeed.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51132,80,ips,signature,7310,
48010,136,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51132,80,ips,signature,7310,
44780,136,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51132,80,ips,signature,7310,
15092,136,high,OFFL.DOC.ROOT.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51132,80,ips,signature,7310,
14949,136,high,Linksnet.Newsfeed.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51132,80,ips,signature,7310,
48010,136,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51132,80,ips,signature,7310,
44780,137,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51134,80,ips,signature,7311,
15118,137,medium,PhpRealty.MGR.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51134,80,ips,signature,7311,
29564,137,medium,PHP.Remote.Arbitrary.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51134,80,ips,signature,7311,
44780,137,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51134,80,ips,signature,7311,
15118,137,medium,PhpRealty.MGR.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51134,80,ips,signature,7311,
44780,138,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
14742,138,low,Xoops.Horoscope.Module.Footer.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
48010,138,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
15110,138,medium,iziContents.gsLanguage.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
14950,138,low,NcasterCMS.Archive.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51136,80,ips,signature,7312,
