attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype
12525,9320778,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2952,0,ips,signature
12525,9320780,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2954,0,ips,signature
12525,9320782,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2956,0,ips,signature
12525,9320784,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2958,0,ips,signature
12525,9320787,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2961,0,ips,signature
12525,9320786,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2960,0,ips,signature
12525,9320789,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2963,0,ips,signature
12525,9320791,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2965,0,ips,signature
12525,9320793,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2967,0,ips,signature
12525,9320795,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2969,0,ips,signature
12525,9320797,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2971,0,ips,signature
12525,9320799,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2973,0,ips,signature
12525,9320801,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2975,0,ips,signature
12525,9320803,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2977,0,ips,signature
12525,9320805,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2979,0,ips,signature
12525,9320807,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2981,0,ips,signature
12525,9320809,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2983,0,ips,signature
12525,9320811,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2985,0,ips,signature
12525,9320813,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2987,0,ips,signature
12525,9320815,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2989,0,ips,signature
12525,9320817,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2991,0,ips,signature
12525,9320819,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2993,0,ips,signature
12525,9320821,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2995,0,ips,signature
12525,9320823,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2997,0,ips,signature
12525,9320825,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2999,0,ips,signature
12525,9320827,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3001,0,ips,signature
12525,9320829,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3003,0,ips,signature
12525,9320831,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3005,0,ips,signature
12525,9320833,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3007,0,ips,signature
12525,9320835,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3009,0,ips,signature
12525,9320837,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3011,0,ips,signature
12525,9320839,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3013,0,ips,signature
12525,9320841,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3015,0,ips,signature
12525,9320843,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3017,0,ips,signature
12525,9320845,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3019,0,ips,signature
12525,9320847,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3021,0,ips,signature
12525,9320849,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3023,0,ips,signature
12525,9320851,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3025,0,ips,signature
12525,9320853,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3027,0,ips,signature
12525,9320855,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3029,0,ips,signature
12525,9320857,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3031,0,ips,signature
12525,9320859,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3033,0,ips,signature
12525,9320788,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2962,0,ips,signature
12525,9320790,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2964,0,ips,signature
12525,9320792,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2966,0,ips,signature
12525,9320794,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2968,0,ips,signature
12525,9320796,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2970,0,ips,signature
12525,9320798,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2972,0,ips,signature
12525,9320800,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2974,0,ips,signature
12525,9320802,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2976,0,ips,signature
12525,9320861,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3035,0,ips,signature
12525,9320804,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2978,0,ips,signature
12525,9320806,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2980,0,ips,signature
12525,9320808,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2982,0,ips,signature
12525,9320810,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2984,0,ips,signature
12525,9320812,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2986,0,ips,signature
12525,9320814,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2988,0,ips,signature
12525,9320816,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2990,0,ips,signature
12525,9320818,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2992,0,ips,signature
12525,9320820,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2994,0,ips,signature
12525,9320863,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3037,0,ips,signature
12525,9320822,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2996,0,ips,signature
12525,9320824,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2998,0,ips,signature
12525,9320826,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3000,0,ips,signature
12525,9320828,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3002,0,ips,signature
12525,9320830,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3004,0,ips,signature
12525,9320832,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3006,0,ips,signature
12525,9320834,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3008,0,ips,signature
12525,9320836,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3010,0,ips,signature
12525,9320838,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3012,0,ips,signature
12525,9320865,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3039,0,ips,signature
12525,9320840,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3014,0,ips,signature
12525,9320842,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3016,0,ips,signature
12525,9320844,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3018,0,ips,signature
12525,9320846,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3020,0,ips,signature
12525,9320848,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3022,0,ips,signature
12525,9320850,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3024,0,ips,signature
12525,9320852,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,3026,0,ips,signature
